date,asset,ret
2018-10-16,GLD,-0.0017241116227775244
2018-10-17,GLD,-8.63742311474347e-05
2018-10-18,GLD,0.001122698440194414
2018-10-19,GLD,0.0007764317521294917
2018-10-22,GLD,-0.002586010225269386
2018-10-23,GLD,0.005876763551604158
2018-10-24,GLD,0.0023198236435848507
2018-10-25,GLD,-0.002228717024418514
2018-10-26,GLD,0.0031786521678458524
2018-10-29,GLD,-0.003939360261170033
2018-10-30,GLD,-0.0043847864976440665
2018-10-31,GLD,-0.005613139108367582
2018-11-01,GLD,0.01285276342099273
2018-11-02,GLD,0.00017151910256396619
2018-11-05,GLD,-0.0024003324100665413
2018-11-06,GLD,-0.002835798085983776
2018-11-07,GLD,-8.619558903444346e-05
2018-11-08,GLD,-0.0021546152083956605
2018-11-09,GLD,-0.011228151978489587
2018-11-12,GLD,-0.007162820324765118
2018-11-13,GLD,0.0003518677181439944
2018-11-14,GLD,0.008267391966898296
2018-11-15,GLD,0.0011339606953078007
2018-11-16,GLD,0.00740616997802257
2018-11-19,GLD,0.0004324115306661991
2018-11-20,GLD,0.0
2018-11-21,GLD,0.0016426250921932617
2018-11-23,GLD,-0.0007768338236752159
2018-11-26,GLD,-0.0011228924348919422
2018-11-27,GLD,-0.00596681464067883
2018-11-28,GLD,0.0037407596049732206
2018-11-29,GLD,0.0031201301691909933
2018-11-30,GLD,-0.0017279847238081958
2018-12-03,GLD,0.007529883500850154
2018-12-04,GLD,0.00609912432039339
2018-12-06,GLD,0.0001707363609755319
2018-12-07,GLD,0.00810992789134457
2018-12-10,GLD,-0.003471894702593792
2018-12-11,GLD,-0.001189661703648759
2018-12-12,GLD,0.0021269354947484054
2018-12-13,GLD,-0.002207336227265433
2018-12-14,GLD,-0.0039989894119348834
2018-12-17,GLD,0.0069195729103175285
2018-12-18,GLD,0.0023754880187698557
2018-12-19,GLD,-0.006093958623821227
2018-12-20,GLD,0.015413416962360094
2018-12-21,GLD,-0.004360924625816387
2018-12-24,GLD,0.010950096100037499
2018-12-26,GLD,-0.002999441684935489
2018-12-27,GLD,0.007604847107346435
2018-12-28,GLD,0.004064011487183938
2018-12-31,GLD,0.0015694898830167503
2019-01-02,GLD,0.0006598089159148834
2019-01-03,GLD,0.009066170423806419
2019-01-04,GLD,-0.00808623590052937
2019-01-07,GLD,0.003458482876331992
2019-01-08,GLD,-0.00270804061547536
2019-01-09,GLD,0.006418158373500793
2019-01-10,GLD,-0.005886691481276518
2019-01-11,GLD,0.001727170986037363
2019-01-14,GLD,0.002380897199235621
2019-01-15,GLD,-0.0017200351443329431
2019-01-16,GLD,0.003199863787636481
2019-01-17,GLD,-0.001308546962521917
2019-01-18,GLD,-0.008926410300850951
2019-01-22,GLD,0.0035531343340227117
2019-01-23,GLD,-0.0013997379433262624
2019-01-24,GLD,-0.0015666428373899421
2019-01-25,GLD,0.01461726258147622
2019-01-28,GLD,0.0034999210730881636
2019-01-29,GLD,0.005596580714432919
2019-01-30,GLD,0.005726722578225818
2019-01-31,GLD,0.00048117377030232333
2019-02-01,GLD,-0.002004008016032066
2019-02-04,GLD,-0.004337356751223598
2019-02-05,GLD,0.002581475453272253
2019-02-06,GLD,-0.006758902044908588
2019-02-07,GLD,0.002430293392984062
2019-02-08,GLD,0.0037982966608789415
2019-02-11,GLD,-0.004911042708701019
2019-02-12,GLD,0.002103577179937588
2019-02-13,GLD,-0.003956062177902009
2019-02-14,GLD,0.005592889654295163
2019-02-15,GLD,0.005964900110646543
2019-02-19,GLD,0.015224309695700766
2019-02-20,GLD,-0.0017363346220005127
2019-02-21,GLD,-0.011306137470128319
2019-02-22,GLD,0.0035985360836492397
2019-02-25,GLD,-0.0010358346885893654
2019-02-26,GLD,0.001675034536747555
2019-02-27,GLD,-0.0070871108191714605
2019-02-28,GLD,-0.005613959130088775
2019-03-01,GLD,-0.017017506627186707
2019-03-04,GLD,-0.0026255308667169075
2019-03-05,GLD,0.0013162525939691694
2019-03-06,GLD,-0.0009037184460104486
2019-03-07,GLD,-0.0008222882461903502
2019-03-08,GLD,0.010945553273622899
2019-03-11,GLD,-0.004884390198699684
2019-03-12,GLD,0.006053709964792153
2019-03-13,GLD,0.006992949727453013
2019-03-14,GLD,-0.011547098821608426
2019-03-15,GLD,0.004574769560006908
2019-03-18,GLD,0.0005692420438265788
2019-03-19,GLD,0.002763299214570525
2019-03-20,GLD,0.006484057947534483
2019-03-21,GLD,-0.004026413261163153
2019-03-22,GLD,0.002344768069306058
2019-03-25,GLD,0.007663119616744263
2019-03-26,GLD,-0.004963137418149799
