date,asset,is_live,is_tradeable,has_full_history_window
2018-02-28,SPY,True,True,True
2018-03-01,SPY,True,True,True
2018-03-02,SPY,True,True,True
2018-03-05,SPY,True,True,True
2018-03-06,SPY,True,True,True
2018-03-07,SPY,True,True,True
2018-03-08,SPY,True,True,True
2018-03-09,SPY,True,True,True
2018-03-12,SPY,True,True,True
2018-03-13,SPY,True,True,True
2018-03-14,SPY,True,True,True
2018-03-15,SPY,True,True,True
2018-03-16,SPY,True,True,True
2018-03-19,SPY,True,True,True
2018-03-20,SPY,True,True,True
2018-03-21,SPY,True,True,True
2018-03-22,SPY,True,True,True
2018-03-23,SPY,True,True,True
2018-03-26,SPY,True,True,True
2018-03-27,SPY,True,True,True
2018-03-28,SPY,True,True,True
2018-03-29,SPY,True,True,True
